0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,M-S,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0;TB,0;TB,0;TB,3,3,2;T,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0;TB,0;TB,0;TB,0;TB,0;TB,2;T,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0;TB,0;TB,0;TB,0;TB,0;TB,2;T,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2;T,2;T,3,3,3,2;T,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0,0,0,0
1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
