0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB|2;T,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,6;R|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,M-1|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,M-F|0;TB,0;TB,0;TB,6;R|0;TB,0;TB,0;TB,M-M|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB|2;T,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,4;BR|0;TB|2;T,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,M-S|0;TB,0;TB,0;TB,4;BR|0;TB,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,M-S|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,M-M|0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,2;T|0;TB,2;T|0;TB,2;T|5;T|0;TB,2;T|0;TB,4;BR|0;TB|2;T,0
0,4;BL|0;TB,0;TB,0;TB,0;TB,0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,0;TB,0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,4;BR|0;TB|2;T,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,5;T|0;TB,0;TB,4;BR|0;TB,0
0,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,5;T|0;TB,0;TB,0;TB,0
L,0;TB,0;TB,0;TB,M-S|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0;TB,M-M|0;TB,0;TB,0;TB,0;TB,0;TB,M-1|0;TB,0;TB,0;TB,5;T|0;TB,0;TB,0;TB,R
1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T
