0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,0;TB,0;TB,0;TB,0;TB,0;TB,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,0;TB,0;TB,0;TB,0;TB,0;TB,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,2;T,3,3,3,3,0,0,0,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,,,,,,,,,,,0
0,0,0,0,0,0,0,0,4;BL,2;T,2;T,3,3,3,2;T,2;T,2;T,,,,,,,,,,,R
0,0,0,0,0,0,0,0,6,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,,,,,,,,,,,1;F
L,0,0,0,0,0,0,0,6,0;TB,0;TB,0;TB,0;TB,0;TB,M-F,0;TB,0;TB,s.2,,,,,,,,,,*
1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,1;T,*,*,*,*,*,*,*,*,*
