0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3|4;BR,3,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4;BR,0,0,0,0,0,0,0,0,0,0
0,0,0,0,M-EL,0,0,0,0,0,0,0,0,0,0,0,0,0,4;BR,0,0,0,0,0,0,M-S,0,0,0
2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,0,0,0,0,0,0,0,4;BR,0,0,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB,2;FRB|5;F,2;FRB,2;FRB
0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3|5;F,3,4;BR|3,0,0,0,0,0,0,0,5;F,0,0
0,0,M-F,0,0,0,0,0,0,0,M-M,0,0,0,0,0,5;F,0,4;BR,0,0,0,0,0,0,0,5;F,0,0
3,3,3,3,3,3,0,0,0,2;FRF|4;BL,2;FRF,2;FRF,0,0,0,0,5;F,0,4;BR,0,0,0,0,0,0,0,5;F,0,0
0,0,0,0,0,0,0,0,0,4;BL,0,0,0,0,0,0,5;F,0,4;BR,0,0,0,0,0,0,0,5;F,0,0
0,M-S,0,0,0,0,0,0,0,4;BL,0,0,0,0,0,0,5;F,0,4;BR,0,0,0,0,0,0,0,5;F,0,0
3,3,3,3,3,0,0,0,0,4;BL,0,0,0,0,0,0,5;F,0,4;BR,0,0,0,0,0,0,2;FRF,2;FRF,2;FRF,2;FRF
0,0,0,0,0,0,0,0,0,4;BL,0,0,0,0,0,0,5;F,0,6;R,0,0,0,0,0,0,0,0,0,0
L,0,0,M-F,0,0,0,0,0,4;BL,0,0,M-1,0,0,M-1,5;F,0,6;R,0,0,M-1,0,0,M-1,0,0,0,R
1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F
