0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,0,0,M-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
L,0,0,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,1;F,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,R
1;F,1;F,1;F,*,*,*,*,*,*,*,*,*,1;F,1;F,1;F,1;F,,,,,,,,,,,,,,,,,,,,,1;F,1;F,1;F
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,s.1,,,,,,,,,,,,,,,,,,,,*,*,*
