0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
0,0,0,0,0,0,0,a,0,0,,,,,,,,,,0,0,0,7,0,0,0,0,0
L,0,0,1,1,1,1,1,1,1,,,,,,,,,,0,0,0,7,0,a,0,0,R
1,1,1,1,1,1,*,*,*,*,,,,,,,,,,1,1,1,1,1,1,1,1,1
*,*,*,*,*,*,*,*,*,*,,,,,,,,,,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,,,,,,,,,,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,,,,,,,,,,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,s.1,,,,,,,,,*,*,*,*,*,*,*,*,*
