0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,b,0,0,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,1,6,6,1,0,0,0,1,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,,,,,,,,,,
0,1,6,6,6,1,1,1,0,0,7,0,0,0,1,0,0,0,,,,,,,,,,
0,1,0,0,0,0,0,1,6,6,1,0,0,0,1,0,0,0,,,,,,,,,,
0,1,0,0,0,0,0,1,0,0,1,6,6,6,1,0,0,0,,,,,,,,,,
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,,,,,,,,,,
0,1,1,1,6,6,6,1,6,6,1,0,0,0,7,0,0,0,,,,,,,,,,
0,1,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,9,,,,,,,,,,
0,7,0,0,0,0,0,1,0,e,1,1,1,1,1,1,1,1,,,,,,,,,,
8,7,0,0,0,a,0,1,1,1,1,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
